Date,Symbols,Close,High,Low,Open,Volume
2022-04-26,AAPL,156.8,162.34,156.72,162.25,95623240
2022-04-26,AMGN,249.87,252.9999,249.72,250.3,3305977
2022-04-26,AXP,178.65,183.91,178.54,183.25,3728056
2022-04-26,BA,167.04,174.87,166.85,174.76,9277309
2022-04-26,CAT,210.3,218.2,209.35,216.13,4176665
2022-04-26,CRM,170.08,173.72,167.55,172.62,8073280
2022-04-26,CSCO,50.9,51.94,50.87,51.875,19238344
2022-04-26,CVX,156.53,160.37,156.39,158.82,9810595
2022-04-26,DIS,115.77,119.15,115.64,119.15,16116022
2022-04-26,GE,80.59,85.23,78.41,84.95,28754882
2022-04-26,GS,313.12,321.6,312.8,317.95,2791654
2022-04-26,HD,299.96,307.56,299.72,302.25,3415244
2022-04-26,HON,187.67,190.855,187.57,189.51,2848994
2022-04-26,IBM,136.19,139.87,136.17,139.0,4956236
2022-04-26,INTC,45.52,46.84,45.51,46.69,35356573
2022-04-26,JNJ,184.68,186.57,184.1808,185.1,10190017
2022-04-26,JPM,123.02,126.41,122.87,124.64,17209535
2022-04-26,KO,65.05,66.367,65.04,65.52,21982605
2022-04-26,MCD,248.58,252.41,248.33,250.13,2948548
2022-04-26,MMM,144.22,146.98,142.87,145.41,4840383
2022-04-26,MRK,84.48,86.195,84.39,85.76,9009648
2022-04-26,MSFT,270.22,278.3599,270.0,277.5,46518445
2022-04-26,NKE,120.52,127.59,120.48,126.95,7977916
2022-04-26,PG,159.79,163.64,159.75,162.68,7769465
2022-04-26,TRV,172.66,175.792,172.59,173.83,1807138
2022-04-26,UNH,513.78,526.26,513.51,524.24,2895496
2022-04-26,V,201.1,208.56,201.1,206.98,8155285
2022-04-26,VZ,49.41,50.65,49.37,50.26,29507712
2022-04-26,WBA,44.87,45.905,44.86,45.1,6051115
2022-04-26,WMT,155.3,158.13,155.2,156.37,6533677
2022-04-25,AAPL,162.88,163.17,158.46,161.12,96046376
2022-04-25,AMGN,252.17,252.65,247.91,251.01,2271002
2022-04-25,AXP,184.1,184.26,177.99,179.98,4408872
2022-04-25,BA,175.91,176.08,172.45,174.51,6293100
2022-04-25,CAT,216.7,217.0,209.57,215.31,4145466
2022-04-25,CRM,174.57,174.76,169.2278,169.69,7988936
2022-04-25,CSCO,51.94,51.98,50.54,51.45,18677038
2022-04-25,CVX,157.49,158.36,151.36,155.73,15449845
2022-04-25,DIS,119.95,120.33,116.75,117.66,16490965
2022-04-25,GE,89.88,90.0,86.575,88.5,6903402
2022-04-25,GS,321.42,322.16,312.74,316.38,3093646
2022-04-25,HD,304.94,305.16,296.27,300.0,4396905
2022-04-25,HON,191.82,191.9,187.33,190.33,2397533
2022-04-25,IBM,139.1,139.65,135.19,137.59,5748289
2022-04-25,INTC,47.06,47.14,46.18,46.21,35999251
2022-04-25,JNJ,186.01,186.69,182.1,182.34,11176501
2022-04-25,JPM,126.77,127.115,123.11,126.01,17149031
2022-04-25,KO,65.94,67.2,64.78,67.0,25082000
2022-04-25,MCD,252.88,253.13,247.93,249.45,2522972
2022-04-25,MMM,148.6,149.03,145.88,148.71,3432186
2022-04-25,MRK,85.44,85.81,83.53,84.59,10573426
2022-04-25,MSFT,280.72,281.11,270.77,273.29,35678852
2022-04-25,NKE,127.94,128.94,124.85,127.8,6512514
2022-04-25,PG,162.55,163.29,159.8,161.7,6986760
2022-04-25,TRV,174.44,174.94,170.63,172.45,1502559
2022-04-25,UNH,524.27,526.26,511.73,520.4,3030378
2022-04-25,V,209.95,210.5312,205.33,206.35,6839415
2022-04-25,VZ,50.28,51.44,49.54,51.34,46028356
2022-04-25,WBA,45.39,45.495,44.165,45.22,6572678
2022-04-25,WMT,156.94,157.47,154.35,156.37,6019179
2022-04-22,AAPL,161.79,167.8699,161.5,166.46,84882424
2022-04-22,AMGN,250.35,255.9,250.06,254.1,2617802
