Date,Symbols,Close,Change
03.01.12,AAPL,12.576,
03.01.12,AMGN,49.664,
03.01.12,AXP,41.645,
03.01.12,BA,60.728,
03.01.12,CAT,70.701,
03.01.12,CRM,25.3,
03.01.12,CSCO,13.668,
03.01.12,CVX,72.383,
03.01.12,DIS,34.3,
03.01.12,GE,116.65,
03.01.12,GS,80.873,
03.01.12,HD,33.594,
03.01.12,HON,44.519,
03.01.12,IBM,128.58,
03.01.12,INTC,18.15,
03.01.12,JNJ,49.345,
03.01.12,JPM,26.197,
03.01.12,KO,25.446,
03.01.12,MCD,74.031,
03.01.12,MMM,63.375,
03.01.12,MRK,27.383,
03.01.12,MSFT,21.614,
03.01.12,NKE,21.575,
03.01.12,PG,48.868,
03.01.12,TRV,46.217,
03.01.12,UNH,43.939,
03.01.12,V,23.917,
03.01.12,VZ,24.753,
03.01.12,WBA,25.161,
03.01.12,WMT,47.712,
04.01.12,AAPL,12.644,1.005374465
04.01.12,AMGN,49.392,0.994540148
04.01.12,AXP,41.673,1.000622674
04.01.12,BA,60.817,1.001482133
04.01.12,CAT,71.355,1.0092576
04.01.12,CRM,24.37,0.963241169
04.01.12,CSCO,13.935,1.019323999
04.01.12,CVX,72.267,0.998278613
04.01.12,DIS,34.785,1.014095777
04.01.12,GE,117.92,1.010893368
04.01.12,GS,80.346,0.993498934
04.01.12,HD,34.075,1.01423786
04.01.12,HON,44.479,0.99910042
04.01.12,IBM,128.07,0.995920802
04.01.12,INTC,18.57,1.023227554
04.01.12,JNJ,49.046,0.993928476
04.01.12,JPM,26.365,1.006334583
04.01.12,KO,25.283,0.993726677
04.01.12,MCD,74.442,1.005564378
04.01.12,MMM,63.9,1.008265028
04.01.12,MRK,27.417,1.001044006
04.01.12,MSFT,22.129,1.023533996
04.01.12,NKE,21.892,1.01456485
04.01.12,PG,48.846,0.999551224
04.01.12,TRV,46.031,0.995931687
04.01.12,UNH,44.578,1.014565552
04.01.12,V,23.489,0.982134094
04.01.12,VZ,24.431,0.98691148
04.01.12,WBA,24.989,0.993043095
04.01.12,WMT,47.221,0.989723067
05.01.12,AAPL,12.785,1.01110157
05.01.12,AMGN,49.895,1.010194596
05.01.12,AXP,42.157,1.011608602
05.01.12,BA,60.164,0.989237006
05.01.12,CAT,71.857,1.00706362
05.01.12,CRM,24.693,1.013233414
05.01.12,CSCO,13.885,0.996313741
05.01.12,CVX,71.549,0.990197792
05.01.12,DIS,35.366,1.016730704
05.01.12,GE,117.88,0.999461398
05.01.12,GS,80.211,0.998310948
05.01.12,HD,34.354,1.008188948
05.01.12,HON,44.527,1.001080469
05.01.12,IBM,127.46,0.995257753
05.01.12,INTC,18.784,1.011549407
05.01.12,JNJ,48.985,0.998778246
05.01.12,JPM,26.915,1.020887174
05.01.12,KO,25.165,0.995265419
05.01.12,MCD,74.774,1.004427136
05.01.12,MMM,63.61,0.995485582
05.01.12,MRK,27.7,1.010433403
05.01.12,MSFT,22.359,1.010218857
05.01.12,NKE,21.877,0.9993887
05.01.12,PG,48.639,0.995808502
05.01.12,TRV,46.487,1.009872389
05.01.12,UNH,44.877,1.006699861
05.01.12,V,23.664,1.007513752
05.01.12,VZ,24.26,0.993113817
05.01.12,WBA,24.901,0.996649439
05.01.12,WMT,46.992,0.995143506
06.01.12,AAPL,12.919,1.010454048
06.01.12,AMGN,50.165,1.005434271
06.01.12,AXP,41.697,0.989139033
06.01.12,BA,60.533,1.006120165
06.01.12,CAT,72.035,1.002512548
06.01.12,CRM,25.265,1.023185188
06.01.12,CSCO,13.831,0.996300239
06.01.12,CVX,71.04,0.992758795
06.01.12,DIS,35.731,1.010379891
06.01.12,GE,118.5,1.005390826
06.01.12,GS,79.228,0.987735364
06.01.12,HD,34.439,1.002552981
06.01.12,HON,44.201,0.992624499
06.01.12,IBM,125.98,0.988518607
06.01.12,INTC,18.672,0.994094239
06.01.12,JNJ,48.556,0.991284474
06.01.12,JPM,26.672,0.991031441
06.01.12,KO,25.006,0.993657422
06.01.12,MCD,75.348,1.007713161
06.01.12,MMM,63.288,0.994868627
06.01.12,MRK,27.509,0.993030273
06.01.12,MSFT,22.697,1.015534814
06.01.12,NKE,21.838,0.998268177
06.01.12,PG,48.522,0.997594485
06.01.12,TRV,46.501,1.000336782
06.01.12,UNH,45.039,1.003613209
06.01.12,V,23.383,0.988224777
06.01.12,VZ,24.189,0.997138815
06.01.12,WBA,25.176,1.011002107
06.01.12,WMT,46.666,0.992931519
09.01.12,AAPL,12.899,0.998413952
09.01.12,AMGN,49.736,0.991352359
09.01.12,AXP,41.804,1.002486045
09.01.12,BA,60.981,1.007433825
09.01.12,CAT,73.048,1.013993205
09.01.12,CRM,25.188,0.996932539
09.01.12,CSCO,13.922,1.006365694
09.01.12,CVX,71.811,1.010894531
09.01.12,DIS,35.591,0.995991026
09.01.12,GE,119.81,1.011260047
09.01.12,GS,80.304,1.013594244
09.01.12,HD,34.464,1.000694686
09.01.12,HON,44.569,1.008336495
09.01.12,IBM,125.33,0.994795846
09.01.12,INTC,18.832,1.008713058
09.01.12,JNJ,48.634,1.001542347
09.01.12,JPM,26.624,0.998302927
09.01.12,KO,25.006,1
09.01.12,MCD,74.629,0.990456975
09.01.12,MMM,63.668,1.005997417
09.01.12,MRK,27.449,0.997920052
09.01.12,MSFT,22.409,0.986837277
09.01.12,NKE,21.919,1.00367387
09.01.12,PG,48.731,1.004219369
09.01.12,TRV,46.769,1.00572895
09.01.12,UNH,44.988,0.99886309
09.01.12,V,23.197,0.991957212
09.01.12,VZ,24.216,1.001043252
09.01.12,WBA,25.495,1.012696449
09.01.12,WMT,46.805,1.003050844
10.01.12,AAPL,12.945,1.003580432
10.01.12,AMGN,50.872,1.022897122
10.01.12,AXP,42.045,1.005786447
10.01.12,BA,61.368,1.006306522
10.01.12,CAT,75.199,1.029454809
10.01.12,CRM,26.198,1.040099265
10.01.12,CSCO,13.815,0.992619911
10.01.12,CVX,71.524,0.996072722
10.01.12,DIS,35.481,0.996981033
10.01.12,GE,118.92,0.992576976
10.01.12,GS,83.391,1.038441401
10.01.12,HD,34.709,1.006939489
10.01.12,HON,45.322,1.016894321
10.01.12,IBM,125.12,0.998458067
10.01.12,INTC,18.926,1.004711442
10.01.12,JNJ,48.833,1.004158307
10.01.12,JPM,27.193,1.021246325
10.01.12,KO,25.153,1.005947818
10.01.12,MCD,74.677,1.000602339
10.01.12,MMM,63.992,1.005127211
10.01.12,MRK,27.542,1.003386761
10.01.12,MSFT,22.487,1.003604927
10.01.12,NKE,21.943,1.001220635
10.01.12,PG,48.501,0.995348304
10.01.12,TRV,47.09,1.006868679
10.01.12,UNH,44.905,0.998103135
10.01.12,V,23.173,0.998999125
10.01.12,VZ,24.343,1.005212476
10.01.12,WBA,26.184,1.026865792
10.01.12,WMT,46.693,0.997634529
11.01.12,AAPL,12.924,0.998369649
11.01.12,AMGN,51.442,1.011116143
11.01.12,AXP,42.29,1.005753066
11.01.12,BA,61.149,0.996533418
11.01.12,CAT,74.963,0.996798128
11.01.12,CRM,26.455,1.00982917
11.01.12,CSCO,13.992,1.012745468
11.01.12,CVX,70.686,0.988172034
11.01.12,DIS,34.649,0.976532965
11.01.12,GE,119.95,1.008546871
11.01.12,GS,84.608,1.014542909
11.01.12,HD,34.646,0.998391978
11.01.12,HON,45.221,0.997879165
11.01.12,IBM,125.84,1.005570678
11.01.12,INTC,19.083,1.008206436
11.01.12,JNJ,48.784,0.998926336
11.01.12,JPM,27.653,1.016921291
11.01.12,KO,24.69,0.981540398
11.01.12,MCD,74.846,1.002306759
11.01.12,MMM,63.593,0.993712572
11.01.12,MRK,27.464,0.997144382
11.01.12,MSFT,22.393,0.995689524
11.01.12,NKE,21.872,0.996648479
11.01.12,PG,48.027,0.99020034
11.01.12,TRV,46.933,0.996672246
11.01.12,UNH,45.232,1.007411665
11.01.12,V,23.017,0.993086148
11.01.12,VZ,24.552,1.008555799
11.01.12,WBA,25.886,0.988662607
11.01.12,WMT,46.977,1.006097471
12.01.12,AAPL,12.888,0.997254646
12.01.12,AMGN,52.321,1.017168689
12.01.12,AXP,42.893,1.014300124
12.01.12,BA,61.784,1.010302065
12.01.12,CAT,76.687,1.023083345
12.01.12,CRM,26.42,0.998677004
12.01.12,CSCO,14.054,1.004195703
12.01.12,CVX,68.849,0.974018556
12.01.12,DIS,34.677,1.000775274
12.01.12,GE,120.27,1.002648234
12.01.12,GS,85.832,1.014534726
12.01.12,HD,34.594,0.998389388
12.01.12,HON,45.809,1.012929341
12.01.12,IBM,124.63,0.990291622
12.01.12,INTC,19.045,0.998061834
12.01.12,JNJ,48.857,1.001535712
12.01.12,JPM,27.795,1.005182438
12.01.12,KO,24.51,0.992800429
12.01.12,MCD,75.324,1.006404674
12.01.12,MMM,63.973,1.006087974
12.01.12,MRK,27.608,1.005206829
12.01.12,MSFT,22.617,1.010100893
12.01.12,NKE,22.087,1.009781951
12.01.12,PG,48.124,1.001979488
12.01.12,TRV,46.852,0.998330324
12.01.12,UNH,45.118,0.997359001
12.01.12,V,23.534,1.022500008
12.01.12,VZ,24.562,1.000514332
12.01.12,WBA,25.316,0.978241676
12.01.12,WMT,47.056,1.001683445
13.01.12,AAPL,12.839,0.996250389
13.01.12,AMGN,52.369,1.00088854
13.01.12,AXP,42.983,1.002215408
13.01.12,BA,61.038,0.987948814
13.01.12,CAT,77.089,1.005296976
13.01.12,CRM,25.975,0.983156711
13.01.12,CSCO,13.985,0.995299997
13.01.12,CVX,69.583,1.010669816
13.01.12,DIS,34.381,0.991479579
13.01.12,GE,119.68,0.99524573
13.01.12,GS,83.925,0.977768917
13.01.12,HD,34.69,1.002765141
13.01.12,HON,45.417,0.991432381
13.01.12,IBM,123.66,0.992301191
13.01.12,INTC,18.59,0.976310517
13.01.12,JNJ,48.882,1.000459718
13.01.12,JPM,27.094,0.974762738
13.01.12,KO,24.301,0.991416203
13.01.12,MCD,75.161,0.99781205
13.01.12,MMM,63.465,0.99193188
13.01.12,MRK,27.399,0.992488883
13.01.12,MSFT,22.822,1.008928761
13.01.12,NKE,21.909,0.991927196
13.01.12,PG,48.124,1
13.01.12,TRV,46.516,0.992809655
13.01.12,UNH,44.97,0.996784647
13.01.12,V,23.39,0.994079838
13.01.12,VZ,24.562,1
13.01.12,WBA,24.834,0.980763706
13.01.12,WMT,47.088,1.000672214
17.01.12,AAPL,12.985,1.011648326
17.01.12,AMGN,52.735,1.00695275
17.01.12,AXP,43.385,1.009244585
17.01.12,BA,61.564,1.008579034
17.01.12,CAT,77.762,1.008684632
17.01.12,CRM,25.86,0.995572675
17.01.12,CSCO,14.169,1.013116709
17.01.12,CVX,69.993,1.005938595
17.01.12,DIS,34.452,1.002083364
17.01.12,GE,119.1,0.994692019
17.01.12,GS,82.845,0.987065792
17.01.12,HD,34.874,1.005286513
17.01.12,HON,45.785,1.008112922
17.01.12,IBM,124.23,1.00468867
17.01.12,INTC,18.514,0.996022516
17.01.12,JNJ,48.777,0.997855114
17.01.12,JPM,26.332,0.971881747
17.01.12,KO,24.434,1.005373884
17.01.12,MCD,75.312,1.001993795
17.01.12,MMM,63.944,1.007535895
17.01.12,MRK,27.756,1.013048487
17.01.12,MSFT,22.825,1.00035391
17.01.12,NKE,22.117,1.009562372
17.01.12,PG,48.453,1.006837877
17.01.12,TRV,46.769,1.005389971
17.01.12,UNH,45.709,1.016508567
17.01.12,V,23.807,1.017768216
17.01.12,VZ,24.627,1.002569174
17.01.12,WBA,25.266,1.017469111
17.01.12,WMT,47.332,1.005206889
18.01.12,AAPL,13.122,1.010383631
18.01.12,AMGN,53.622,1.016894545
18.01.12,AXP,43.678,1.006770215
18.01.12,BA,61.415,0.997607547
18.01.12,CAT,78.784,1.013118356
18.01.12,CRM,26.925,1.041183241
18.01.12,CSCO,14.339,1.011911
